ASIN,Title,Author,PurchaseDate
"B0C9KSHZBC","A Parent's Guide to a Safer Childbirth: Expecting the Best: Using the Power of Knowledge to Help You Deliver a Healthy Baby","Mundy, Gina:","N/A"
"B0CV8XS86G","The 28 Day Runway: Your Pathway to The Healthy Lifestyle of Your Dreams","Williams, Christina:","N/A"
"B06XWDQK52","Herbal Healing for Women (A Guide to Holistic Healing)","Gladstar, Rosemary:","N/A"
"B00AN2JPNI","Moms on Call | Basic Baby Care 0-6 Months | Parenting Book 1 of 3 (Moms On Call Parenting Books)","Hunter LPN, Laura:Walker RN BSN, Jennifer:","N/A"
"B0834B1GMQ","Becoming a Dad: The First-Time Dad's Guide to Pregnancy Preparation (101 Tips For Expectant Dads) (Positive Parenting Book 4)","Marshall, Lisa:Antonelli, Johnny:","N/A"
"B0C3NVFG4X","Black Box: A Pregnancy Discrimination Memoir","Glasson, Chelsey:","N/A"
"B0B25WXKQM","Pregnancy Guide for Men: How to Be the Best Supportive Partner and Father From Conception To Birth and Beyond: Plus 10 Life Hacks for New Dads (New Dad Survival Guide)","Support, New Dad:","N/A"
"B001665Y4O","Our Bodies, Ourselves: Pregnancy and Birth","Boston Women's Health Book Collective:Norsigian, Judy:","N/A"
"B094P1HJXX","Asking for a Pregnant Friend: 101 Answers to Questions Women Are Too Embarrassed to Ask about Pregnancy, Childbirth, and Motherhood","Gaddis, Bailey:","N/A"
"B079H8LL9L","Real Food for Pregnancy: The Science and Wisdom of Optimal Prenatal Nutrition","Nichols, Lily:","N/A"
"B09SKPDT36","Brain Energy: A Revolutionary Breakthrough in Understanding Mental Health--and Improving Treatment for Anxiety, Depression, OCD, PTSD, and More","Palmer MD, Christopher M.:","N/A"
"B00IHZ91T6","Men Are from Mars, Women Are from Venus: The Classic Guide to Understanding the Opposite Sex","Gray, John:","N/A"
"B000PC0S0K","Einstein: His Life and Universe","Isaacson, Walter:","N/A"
"B0CJSYWZZ4","UNHOLY TRINITY: How Carbs, Sugar & Oils Make Us Fat, Sick & Addicted and How to Escape Their Grip","Trevor, Daniel:","N/A"
"B08X5YWRRP","The Real Anthony Fauci: Bill Gates, Big Pharma, and the Global War on Democracy and Public Health (Children’s Health Defense)","Kennedy Jr., Robert F.:","N/A"
"B01BBQ33VE","Homo Deus: A Brief History of Tomorrow","Harari, Yuval Noah:","N/A"
"B09XQBVS6B","The Happiness Trap: How to Stop Struggling and Start Living (Second Edition)","Harris, Russ:","N/A"
"B00JQ3FN7M","Make It Stick: The Science of Successful Learning","Brown, Peter C.:Roediger III, Henry L.:McDaniel, Mark A.:","N/A"
"B09HKVQ2TH","Built from Broken: A Science-Based Guide to Healing Painful Joints, Preventing Injuries, and Rebuilding Your Body","Hogan, Scott H:","N/A"
"B0B9SH82C2","A Brief History of Intelligence: Evolution, AI, and the Five Breakthroughs That Made Our Brains","Bennett, Max S.:","N/A"
"B01N7KMS7X","The Radium Girls: The Dark Story of America's Shining Women (Harrowing Historical Nonfiction Bestseller About a Courageous Fight for Justice)","Moore, Kate:","N/A"
"B0BV6DCB8Y","Material World: The Six Raw Materials That Shape Modern Civilization","Conway, Ed:","N/A"
"B07M82PNSX","The Body: A Guide for Occupants","Bryson, Bill:","N/A"
"B08F7S58JY","Metabolical: The Lure and the Lies of Processed Food, Nutrition, and Modern Medicine","Lustig, Robert H:","N/A"
"B07N4C6LGR","Lifespan: Why We Age—and Why We Don't Have To","Sinclair, David:LaPlante, Matthew D.:","N/A"
"B00JCW0BCY","Being Mortal: Medicine and What Matters in the End","Gawande, Atul:","N/A"
"B01C6D0LCK","The Obesity Code: Unlocking the Secrets of Weight Loss (Why Intermittent Fasting Is the Key to Controlling Your Weight) (The Code Series Book 1)","Fung, Dr. Jason:","N/A"
"B0BHPTLSPW","Ultra-Processed People: Why We Can't Stop Eating Food That Isn't Food","van Tulleken, Chris:","N/A"
"B098PXTS5K","The Myth of Normal: Trauma, Illness, and Healing in a Toxic Culture","Maté, Gabor:","N/A"
"B06ZZ1YGJ5","Why We Sleep: Unlocking the Power of Sleep and Dreams","Walker PhD, Matthew:","N/A"
"B0BR51FB12","Eve: How the Female Body Drove 200 Million Years of Human Evolution","Bohannon, Cat:","N/A"
"B005GSYXGI","So You Created a Wormhole: The Time Traveler's Guide to Time Travel","Hornshaw, Phil:Hurwitch, Nick:","N/A"
"B0C37LFY46","Ideas and Opinions by Albert Einstein: Insights into Science, Philosophy, and Humanity","Albert Einstein:","N/A"
"B010ZXKCAO","Evicted: Poverty and Profit in the American City","Desmond, Matthew:","N/A"
"B0B44TK5LH","Still Life with Bones: Genocide, Forensics, and What Remains","Hagerty, Alexa:","N/A"
"B07NTYJJDX","Something Deeply Hidden: Quantum Worlds and the Emergence of Spacetime","Carroll, Sean:","N/A"
"B00338QENI","The Immortal Life of Henrietta Lacks","Skloot, Rebecca:","N/A"
"B01IAUGC5S","Behave: The Biology of Humans at Our Best and Worst","Sapolsky, Robert M.:","N/A"
"B00EY818TQ","Letting Go: The Pathway of Surrender","Hawkins, David R.:","N/A"
"B010MH9V3W","Grit: The Power of Passion and Perseverance","Duckworth, Angela:","N/A"
"B0036Z9U2A","The Gift of Fear","de Becker, Gavin:","N/A"
"B00ICN066A","Sapiens: A Brief History of Humankind","Harari, Yuval Noah:","N/A"
"B00N6PEQV0","The Seven Principles for Making Marriage Work: A Practical Guide from the Country's Foremost Relationship Expert","Gottman, John:Silver, Nan:","N/A"
"B093Y3N433","Crucial Conversations: Tools for Talking When Stakes are High, Third Edition","Grenny, Joseph:Patterson, Kerry:McMillan, Ron:Switzler, Al:Gregory, Emily:","N/A"
"B00OICLVBI","The 5 Love Languages: The Secret to Love that Lasts","Chapman, Gary:","N/A"
"B0B1BTJLJN","Outlive: The Science and Art of Longevity","Attia MD, Peter:Gifford, Bill:","N/A"
"B09ZHHXX6P","YouTube Secrets: The Ultimate Guide to Growing Your Following and Making Money as a Video Influencer","Cannell, Sean:Travis, Benji:","N/A"
"B0CX5967RZ","THINK BIG: A 10-Step Guide to Aspiring to Greatness, Pursuing Your Dreams, and Unleashing Your Full Potential!","Zahariades, Damon:","N/A"
"B0B2KX4S9W","The Universal Rules of Life: 27 Secrets for Managing Time, Stress, and People","Fanous, Nabil:","N/A"
"B0BCXG4LYF","DON'T SUCK: Life Lessons for Success","LeClair, Andre:","N/A"
"B0C7WR39P8","50 Secrets of Genius Success: Upgrade Your Mindset For Success, Boost Self-Confidence, Gain Daily Inspiration, and Effortlessly Design Your Rich Life (Genialism™ Teaching)","Latansky, Mykola:","N/A"
"B09XP7383J","Wealth Your Way: A Simple Path to Financial Freedom","DeStefano, Cosmo P.:","N/A"
"B0CTHJ98G7","Believe in Better: The Evolution of Core Principles that Pioneered an Industry","Stafford, Damon:","N/A"
"B0BW163HV3","Plan E: How to Be Successful in Today's World","Perry, Owen:","N/A"
"B078GHMV65","Bet On Yourself: From zero to millions","Hodges, Dr. Vernard L:","N/A"
"B0CQKPXKX4","Failing Fast?: The Ten Secrets to Succeed Faster","Tulsidas, Luv:","N/A"
"B0CW1GCBD4","Built with Purpose: How Our Employee-Owned Business Changed What it Means to Work and Why","Roark, Bill:","N/A"
"B0CKC82F8W","Live for a Living: How to Create Your Career Journey to Work Happier, Not Harder","Caligiuri, Paula:Palmer, Andy:","N/A"
"B0CPYN4PJY","Money On Autopilot: 7 Simple Strategies to Achieve Financial Freedom. A Financial Literacy Book to Maximize Your Income and Live the Life of Abundance.","Bishop, Bruce:","N/A"
"B0CW2STHHS","Zero Risk Startup: The Ultimate Entrepreneur's Guide to Mitigating Risks When Starting or Growing a Business","Andrez, Paulo:","N/A"
"B0C331S47J","Wired For Wealth: Unlocking Your Brain for Financial Success","Trivedi, Alok:","N/A"
"B0CSHL5QKC","Unstoppable Brain: The New Neuroscience that Frees Us from Failure, Eases Our Stress, and Creates Lasting Change","Bobinet, Kyra:","N/A"
"B0C6KS9M29","And How Does That Make You Feel?: Everything You (N)ever Wanted to Know About Therapy","Fletcher, Joshua:","N/A"
