ASIN,Title,Author,PurchaseDate
"B00FJ351YI","The Wish","Levine, Gail Carson:","N/A"
"B00AK809KI","Beast","Napoli, Donna Jo:","N/A"
"B003L77WRI","Breath","Napoli, Donna Jo:","N/A"
"B000FC2OGG","She Went All the Way","Cabot, Meg:","N/A"
"B000NY11Q0","Such a Pretty Girl","Wiess, Laura:","N/A"
"B000SEFG8E","Half Moon Investigations","Colfer, Eoin:","N/A"
"B004G60B7Q","Violin: A Novel","Rice, Anne:","N/A"
"B002ZJCQZ6","Water Song: A Retelling of The Frog Prince (Once upon a Time)","Weyn, Suzanne:","N/A"
"B004DI7TC2","The Rose Bride: A Retelling of The White Bride and the Black Bride (Once upon a Time)","Holder, Nancy:","N/A"
"B00383YJDK","Midnight Pearls: A Retelling of The Little Mermaid (Once upon a Time)","Viguié, Debbie:","N/A"
"B001FRZEB2","A Swift Pure Cry","Dowd, Siobhan:","N/A"
"B0052Z3G1S","Memoirs of a Teenage Amnesiac: A Novel","Zevin, Gabrielle:","N/A"
"B01GQPYSM8","Blackthorn Winter: A Murder Mystery","Reiss, Kathryn:","N/A"
"B000UZNSTA","Book of a Thousand Days","Hale, Shannon:","N/A"
"B00139XT00","The Faerie Path","Jones, Frewin:","N/A"
"B004NNUZ7S","Dragon Slippers","George, Jessica Day:","N/A"
"B007679MFY","Nothing to Lose","Flinn, Alex:","N/A"
"B004JHY57E","The Salamander Spell (Tales of the Frog Princess Book 5)","Baker, E.D.:","N/A"
"B01MG5E0P9","It's a Mall World After All: A Sweet YA Romantic Comedy","Rallison, Janette:","N/A"
"B00383YJG2","Inexcusable: 10th Anniversary Edition","Lynch, Chris:","N/A"
"B017V8J0VI","Mira, Mirror","Harrison, Mette Ivie:","N/A"
"B00766ZTT8","Diva","Flinn, Alex:","N/A"
"B000UZQH1G","The Street of a Thousand Blossoms: A Novel","Tsukiyama, Gail:","N/A"
"B000GCFX86","Queen of Babble","Cabot, Meg:","N/A"
"B000SEH3YE","The Warrior Heir (Heir Chronicles Book 1)","Chima, Cinda Williams:","N/A"
"B009TS9E0Q","Mermaids","Dann, Patty:","N/A"
"B000FC1K8O","The River (Brian's Saga Book 2)","Paulsen, Gary:","N/A"
"B003L77WPK","Scarlet Moon (Once upon a Time)","Viguié, Debbie:","N/A"
"B007W1RTRC","Lessons from a Dead Girl","Knowles, Jo:","N/A"
"B002T6V4ZI","The Wizard Heir (Heir Chronicles Book 2)","Chima, Cinda Williams:","N/A"
"B017WDMCSU","The Monster In Me","Harrison, Mette Ivie:","N/A"
"B000SFP9RG","The Luxe (Luxe Novel Book 1)","Godbersen, Anna:","N/A"
"B0BR458QKT","Stray (The Shifters Book 1)","Vincent, Rachel:","N/A"
"B00598KKL2","Succubus On Top (Georgina Kincaid Book 2)","Mead, Richelle:","N/A"
"B000WJOX2A","Before I Die","Downham, Jenny:","N/A"
"B000WJOU46","Lock and Key","Dessen, Sarah:","N/A"
"B002U2DQFW","Click: One Novel, Ten Authors","Hornby, Nick:David Almond:Eoin Colfer:Roddy Doyle:Deborah Ellis:Margo Langan:Gregory Maguire:Ruth Ozeki:Linda Sue Park:Tim Wynne-Jones:","N/A"
"B00JSA6IY0","Eternal Lover","Kessler, Jackie:Mead, Richelle:Howell, Hannah:Sands, Lynsay:","N/A"
"B0013G3EMG","Leftovers","Wiess, Laura:","N/A"
"B009NFE21Q","Ever","Levine, Gail Carson:","N/A"
"B007EDOW2S","Shug","Han, Jenny:","N/A"
"B0010SEMO6","Septimus Heap, Book Four: Queste","Sage, Angie:","N/A"
"B002L4F46I","Time Paradox, The (Artemis Fowl, Book 6)","Colfer, Eoin:","N/A"
"B0011UEEGY","Queen of Babble Gets Hitched","Cabot, Meg:","N/A"
"B003MZ0AQY","A Curse Dark as Gold","Bunce, Elizabeth C.:","N/A"
"B00HG1ND8C","Reincarnation","Weyn, Suzanne:","N/A"
"B000W939IO","Flower Net: A Red Princess Mystery (Red Princess Mysteries Book 1)","See, Lisa:","N/A"
"B0023EF9FM","Eighth Grade Bites #1: The Chronicles of Vladimir Tod","Brewer, Heather:","N/A"
"B004PGMHV0","Sun and Moon, Ice and Snow","George, Jessica Day:","N/A"
"B002CSKW2O","Cindy Ella","Palmer, Robin:","N/A"
"B001ACEK0I","Cruel Summer: A Novel","Noël, Alyson:","N/A"
"B003K16PDW","Princess Ben","Murdock, Catherine Gilbert:","N/A"
"B0015DYL7O","Out of the Wild","Durst, Sarah Beth:","N/A"
"B0013TPWBY","The Crimson Thread: A Retelling of Rumpelstiltskin (Once upon a Time)","Weyn, Suzanne:","N/A"
"B00NLCHF2K","Rapunzel's Revenge","Hale, Shannon:Hale, Dean:","N/A"
"B0017T0BXO","The Summoning (Darkest Powers, Book 1)","Armstrong, Kelley:","N/A"
"B002PEP4NM","The Disreputable History of Frankie Landau-Banks (National Book Award Finalist)","Lockhart, E.:","N/A"
"B001BAARE2","Storm Born (Dark Swan Book 1)","Mead, Richelle:","N/A"
"B002T6V4ZS","The Dragon Heir (Heir Chronicles Book 3)","Chima, Cinda Williams:","N/A"
"B00FDZH16S","High School Debut, Vol. 1","Kawahara, Kazune:","N/A"
"B002WEPFES","Chains (Seeds of America Book 1)","Anderson, Laurie Halse:","N/A"
"B0013TPUNO","The London Eye Mystery","Dowd, Siobhan:","N/A"
"B009L82WOO","Succubus Dreams (Georgina Kincaid Book 3)","Mead, Richelle:","N/A"
"B001FA0HO8","Palace of Mirrors (The Palace Chronicles Book 2)","Haddix, Margaret Peterson:","N/A"
"B004OA62KE","The Dragon Princess (Tales of the Frog Princess Book 6)","Baker, E.D.:","N/A"
"B004DI7TUO","Belle: A Retelling of Beauty and the Beast (Once upon a Time)","Dokey, Cameron:","N/A"
"B001FRZEAS","Bog Child","Dowd, Siobhan:","N/A"
"B001NLKS8E","Men of the Otherworld: A Collection of Otherworld Tales (The Otherworld Series Book 1)","Armstrong, Kelley:","N/A"
"B01LOBECZC","Lament: The Faerie Queen's Deception (A Lament Novel Book 1)","Stiefvater, Maggie:","N/A"
"B003UV91AQ","Jessica's Guide to Dating on the Dark Side","Fantaskey, Beth:","N/A"
"B003K16P3M","Graceling (Graceling Realm Book 1)","Cashore, Kristin:","N/A"
"B001NLL8GK","Ransom My Heart","Cabot, Meg:Thermopolis, Mia:","N/A"
"B001NLKUFU","Wild Orchid: A Retelling of The Ballad of Mulan (Once upon a Time)","Dokey, Cameron:","N/A"
"B001NLL6TO","The Swan Maiden: A Novel","Watson, Jules:","N/A"
"B002S6UNP6","The Book with no Name (Bourbon Kid 1)","Anonymous:","N/A"
"B002N44XSG","Percy Jackson: The Demigod Files (A Percy Jackson and the Olympians Guide)","Riordan, Rick:","N/A"
"B0036S4AHW","Alligator Bayou","Napoli, Donna Jo:","N/A"
"B004QO966A","Princess of the Midnight Ball (Twelve Dancing Princesses Book 1)","George, Jessica Day:","N/A"
"B008O58HAS","Kissed by an Angel: Kissed by an Angel; The Power of Love; Soulmates","Chandler, Elizabeth:","N/A"
"B001Q8V6PS","Geek Charming","Palmer, Robin:","N/A"
"B002ZUBLHE","Snow White and Rose Red","Wrede, Patricia:","N/A"
"B001QB9FDK","Warrior Princess","Jones, Frewin:","N/A"
"B002AU7MR2","Vacations from Hell","Bray, Libba:Clare, Cassandra:Gray, Claudia:Johnson, Maureen:Mlynowski, Sarah:","N/A"
"B001NLL82Y","Shanghai Girls: A Novel","See, Lisa:","N/A"
"B001O2NECY","Fire in the Hills","Napoli, Donna Jo:","N/A"
"B0031KSENQ","Being Nikki (The Airhead Trilogy, Book 2): An Airhead Novel","Cabot, Meg:","N/A"
"B00CJ05E64","Artemis Fowl: The Arctic Incident Graphic Novel (Artemis Fowl (Graphic Novels) Book 2)","Colfer, Eoin:","N/A"
"B002AU7MK4","Along for the Ride","Dessen, Sarah:","N/A"
"B0036F6X1G","Distant Waves: A Novel of the Titanic","Weyn, Suzanne:","N/A"
"B002NT3B7U","Winter's Child (Once upon a Time)","Dokey, Cameron:","N/A"
"B0029SFE48","The Diamond Secret (Once upon a Time)","Weyn, Suzanne:","N/A"
"B0062Q38GO","The Shadow of the Bear: A Fairy Tale Retold (The Fairy Tale Novels Book 1)","Doman, Regina:","N/A"
"B001NLKXAM","Septimus Heap: The Magykal Papers","Sage, Angie:","N/A"
"B003NX6KQ4","Thirteenth Child (Frontier Magic #1)","Wrede, Patricia C.:","N/A"
"B00273BHLY","Strange Angels","St. Crow, Lili:","N/A"
"B0026SCNEK","A Kiss in Time","Flinn, Alex:","N/A"
"B015BCRWNO","Succubus Heat (Georgina Kincaid Book 4)","Mead, Richelle:","N/A"
"B002HHPW7K","Geektastic: Stories from the Nerd Herd","Black, Holly:Castellucci, Cecil:","N/A"
"B002IPZICU","How It Ends","Wiess, Laura:","N/A"
"B003D9AN2K","Bad Girls Don't Die (Bad Girls Don't Die series Book 1)","Alender, Katie:","N/A"
"B06XK473BL","The Eternal Kiss: 12 Vampire Tales of Blood and Desire","Telep, Trisha:","N/A"
"B002NXOQGQ","Going Bovine","Bray, Libba:","N/A"
"B002HRY0NM","Thorn Queen (Dark Swan Book 2)","Mead, Richelle:","N/A"
"B01MA12ZG7","The Highwayman","Hauf, Michele:","N/A"
"B01767Z1AI","Vampire Kisses: Blood Relatives, Volume III","Schreiber, Ellen:","N/A"
"B002PEP4NC","The Demon King (Seven Realms Book 1)","Chima, Cinda Williams:","N/A"
"B002HJ1WCC","My Soul to Take (Soul Screamers Book 1)","Vincent, Rachel:","N/A"
"B01767Z0UO","Avalon High: Coronation #3: Hunter's Moon","Cabot, Meg:","N/A"
"B002PEP4RI","Septimus Heap, Book Five: Syren","Sage, Angie:","N/A"
"B01LOBEDN8","Ballad: A Gathering of Faerie (A Lament Novel Book 2)","Stiefvater, Maggie:","N/A"
"B002ZAU8OG","Dark Visions: The Strange Power; The Possessed; The Passion","Smith, L.J.:","N/A"
"B002QBV8HU","Heart's Blood","Marillier, Juliet:","N/A"
"B004INHD0K","Dark Secrets 1: Legacy of Lies and Don't Tell","Chandler, Elizabeth:","N/A"
"B003WUYED4","Dragon Kiss (Tales of the Frog Princess Book 7)","Baker, E.D.:","N/A"
"B002QJZ9HW","Ice","Durst, Sarah Beth:","N/A"
"B00O8XDPI4","Calamity Jack","Hale, Shannon:Hale, Dean:","N/A"
"B00HG6YI8Q","Sing me to Sleep: A Young Adult Novel","Morrison, Angela:","N/A"
"B001NLL27K","The Forest of Hands and Teeth","Ryan, Carrie:","N/A"
"B003GYEGSY","The Princess and the Snowbird (The Princess And The Hound Book 3)","Harrison, Mette Ivie:","N/A"
"B003F1WMB6","Radiant Shadows (Wicked Lovely Book 4)","Marr, Melissa:","N/A"
"B002WE46VG","Fallen","Kate, Lauren:","N/A"
"B0031W1DW8","Succubus Shadows (Georgina Kincaid Book 5)","Mead, Richelle:","N/A"
"B003CV7SM2","Artemis Fowl: The Atlantis Complex","Colfer, Eoin:","N/A"
"B003JTHY7Q","Dark Flame: A Novel (The Immortals Book 4)","Noël, Alyson:","N/A"
"B003IGDD6G","Runaway (The Airhead Trilogy, Book 3): An Airhead Novel","Cabot, Meg:","N/A"
"B0045U9WF0","The Vampire Diaries: The Return: Midnight","Smith, L. J.:","N/A"
"B003UYUP8A","Crusade","Holder, Nancy:Viguié, Debbie:","N/A"
"B003QMLCCE","How to Be an American Housewife","Dilloway, Margaret:","N/A"
"B003P9XJTW","Radiance: A Riley Bloom Book","Noël, Alyson:","N/A"
"B003UYUS2S","Enchanted Ivy","Durst, Sarah Beth:","N/A"
"B003OUXEH4","Night Star: A Novel (The Immortals Book 5)","Noël, Alyson:","N/A"
"B005HE2PCU","StarCrossed","Bunce, Elizabeth C.:","N/A"
"B0042JSMQO","The Mermaid's Mirror","Madigan, L. K.:","N/A"
"B003VIWNTY","Once in a Full Moon","Schreiber, Ellen:","N/A"
"B003VIWNKS","Unearthly: (Book 1 of Unearthly Trilogy)","Hand, Cynthia:","N/A"
"B00475ARSO","Across the Universe","Revis, Beth:","N/A"
"B0045U9WUA","Cloaked","Flinn, Alex:","N/A"
"B004IWR392","Iron Crowned (Dark Swan Book 3)","Mead, Richelle:","N/A"
"B004JN1D3W","Starcrossed","Angelini, Josephine:","N/A"
"B004VSTP1M","Abandon (The Abandon Trilogy, Book 1)","Cabot, Meg:","N/A"
"B000W94DZ2","Big Boned (Heather Wells Mysteries Book 3)","Cabot, Meg:","N/A"
"B001MZ0FHU","The Making of the Fittest: DNA and the Ultimate Forensic Record of Evolution","Carroll, Sean B.:","N/A"
"B0716ZTYWC","Wuthering Heights","Bronte, Emily:","N/A"
"B000XUBFE2","The Book Thief","Zusak, Markus:","N/A"
"B000FA5TTW","The Lovely Bones","Sebold, Alice:","N/A"
"B0015DROBO","The Girl with the Dragon Tattoo: A Lisbeth Salander Novel (The Girl with the Dragon Tattoo Series Book 1)","Larsson, Stieg:","N/A"
"B005NY4QGM","The Color Purple","Walker, Alice:","N/A"
"B000FC1RCI","And Then There Were None","Christie, Agatha:","N/A"
"B000YI1K0C","Looking for Alaska","Green, John:","N/A"
"B000U0O9FM","Fight Club: A Novel","Palahniuk, Chuck:","N/A"
"B0B9X1GXKD","Shiver Series (Shiver, Linger, Forever, Sinner)","Stiefvater, Maggie:","N/A"
"B00A9V2JSG","Delirium (Delirium Series Book 1)","Oliver, Lauren:","N/A"
"B0097D6XNO","Blood River: The Terrifying Journey through the World's Most Dangerous Country","Butcher, Tim:","N/A"
"B005GSZZKG","Matched (Matched, Book 1)","Condie, Ally:","N/A"
"B004XFZ9CC","Bloodlines","Mead, Richelle:","N/A"
"B001NLL93W","City of Glass (The Mortal Instruments Book 3)","Clare, Cassandra:","N/A"
"B0038B99PK","Before I Fall","Oliver, Lauren:","N/A"
"B004LROUW2","1Q84 (Vintage International)","Murakami, Haruki:","N/A"
"B017KKCAN2","Where She Went (If I Stay, Book 2)","Forman, Gayle:","N/A"
"B000S1LF5K","I'd Tell You I Love You, But Then I'd Have to Kill You (Gallagher Girls Book 1)","Carter, Ally:","N/A"
"B00BL3P5E6","The Edge of Never","Redmerski, J. A.:","N/A"
"B003NHRGSQ","Linger (Shiver, Book 2) (The Wolves of Mercy Falls)","Stiefvater, Maggie:","N/A"
"B002URBQHC","Fire (Graceling Realm Book 2)","Cashore, Kristin:","N/A"
"B005Q82YOQ","The Golden Lily: A Bloodlines Novel","Mead, Richelle:","N/A"
"B084M1M5LD","The Art of Social Excellence: How to Make Your Personal and Business Relationships Thrive","Fexeus, Henrik:","N/A"
"B08BCCT6MW","Invent and Wander: The Collected Writings of Jeff Bezos, With an Introduction by Walter Isaacson","Isaacson, Walter:Bezos, Jeff:","N/A"
"B08F9KM7G5","The Black Friend: On Being a Better White Person","Joseph, Frederick:","N/A"
"B009NF6VJW","Summer and the City Tie-in Edition (Carrie Diaries Book 2)","Bushnell, Candace:","N/A"
"B004XFYWC0","The Psychopath Test: A Journey Through the Madness Industry","Ronson, Jon:","N/A"
"B00KK0PICK","The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing (The Life Changing Magic of Tidying Up)","Kondō, Marie:","N/A"
"B07D23CFGR","Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones","Clear, James:","N/A"
"B083J1FXYC","Modern Madness: An Owner's Manual","Cheney, Terri:","N/A"
"B00WKU6FK2","The Bitter Taste of Dying: A Memoir","Smith, Jason:","N/A"
"B00I8JQAPE","ttyl - 10th Anniversary update and reissue (The Internet Girls Book 1)","Myracle, Lauren:","N/A"
"B00CH3DBNQ","I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban","Yousafzai, Malala:","N/A"
"B08GJZFBYV","A Promised Land","Obama, Barack:","N/A"
"B001R1LCI0","Girl at Sea","Johnson, Maureen:","N/A"
"B004IK9C84","Perfect","Hopkins, Ellen:","N/A"
"B004PGMHUQ","The Wide-Awake Princess (Tales of the Wide-Awake Princess Book 1)","Baker, E.D.:","N/A"
"B004TTS2UI","I'm Not Her","Gurtler, Janet:","N/A"
"B08271QK9F","Melt My Heart","Perry, A.R.:","N/A"
"B0030CMK2G","The Squad: Killer Spirit (The Squad series Book 2)","Barnes, Jennifer Lynn:","N/A"
"B00B1D0H44","Also Known As","Benway, Robin:","N/A"
"B004OR15ZO","Princess of Glass (Twelve Dancing Princesses Book 2)","George, Jessica Day:","N/A"
"B00OGWASXC","Beauty: A Retelling of the Story of Beauty and the Beast","McKinley, Robin:","N/A"
"B00OGWASU0","Rose Daughter","McKinley, Robin:","N/A"
"B007N6JDN4","Princess Academy: Palace of Stone","Hale, Shannon:","N/A"
"B004CFA9X2","Entwined","Dixon, Heather:","N/A"
"B005G034AC","Once Upon a Marigold","Ferris, Jean:","N/A"
"B0048WQDK2","Before Midnight: A Cinderella Story (Once upon a Time)","Dokey, Cameron:","N/A"
"B003D20RU0","Wicked Lovely with Bonus Material","Marr, Melissa:","N/A"
"B00VIH25FC","Plastic-Free: How I Kicked the Plastic Habit and How You Can Too","Terry, Beth:","N/A"
"B000UZNSUO","Extras (The Uglies Book 4)","Westerfeld, Scott:","N/A"
"B001LFDAIC","Specials (The Uglies Book 3)","Westerfeld, Scott:","N/A"
"B0013TPWT6","No Place For Magic (Tales of the Frog Princess Book 4)","Baker, E. D.:","N/A"
"B003719G1S","Lush","Friend, Natasha:","N/A"
"B000UWW84E","Blood and Chocolate","Klause, Annette Curtis:","N/A"
"B000FC1H4Q","Bud, Not Buddy: (Newbery Medal Winner)","Curtis, Christopher Paul:","N/A"
"B008XO8LTC","Fairest","Levine, Gail Carson:","N/A"
"B0036QVOMS","Tithe: A Modern Faerie Tale","Black, Holly:","N/A"
"B000QRIGLW","Twilight (The Twilight Saga Book 1)","Meyer, Stephenie:","N/A"
"B008XOAJQA","Ella Enchanted: A Newbery Honor Award Winner (Trophy Newbery)","Levine, Gail Carson:","N/A"
"B017SAS448","Zel","Napoli, Donna Jo:","N/A"
"B003GZ4YYY","The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga)","Meyer, Stephenie:","N/A"
"B0015DROQ4","Nobody's Princess (Princesses of Myth)","Friesner, Esther:","N/A"
"B0046ECFKE","Last Sacrifice: A Vampire Academy Novel","Mead, Richelle:","N/A"
"B0015DRPJU","Shadow Kiss: A Vampire Academy Novel","Mead, Richelle:","N/A"
"B004MME5NK","Forged by Fire (Hazelwood High Trilogy Book 2)","Draper, Sharon M.:","N/A"
"B005BTF3SY","The Skin I'm in","Flake, Sharon:","N/A"
"B000GCFY0I","Uglies (The Uglies Book 1)","Westerfeld, Scott:","N/A"
"B002VAHGS6","Blue Moon: The Immortals","Noël, Alyson:","N/A"
"B0023EFB1Y","Sadako and the Thousand Paper Cranes (Puffin Modern Classics)","Coerr, Eleanor:","N/A"
"B092T9K5D5","Heiresses: The Lives of the Million Dollar Babies","Thompson, Laura:","N/A"
"B005O2OYO2","Vegan Virgin Valentine","Mackler, Carolyn:","N/A"
"B0010SEN3G","Sweet Surrender (Sweet Series Book 1)","Banks, Maya:","N/A"
"B00MSS0XAO","Make Up: Your Life Guide to Beauty, Style, and Success--Online and Off","Phan, Michelle:","N/A"
"B015GLZOV2","Believarexic","Johnson, J. J.:","N/A"
"B087V733YJ","Midnight Sun (The Twilight Saga)","Meyer, Stephenie:","N/A"
"B0716VJM71","The Secret Lives of Introverts: Inside Our Hidden World","Granneman, Jenn:","N/A"
"B01B3DIPMW","Harry Potter: The Complete Collection (1-7)","Rowling, J.K.:","N/A"
"B07V78QZPF","How to Be an Artist","Saltz, Jerry:","N/A"
"B099PY2B85","WARATAH: Abridged Version","Thai, Ha-Le:","N/A"
"B002QJZ9YK","Hush, Hush (The Hush, Hush Saga Book 1)","Fitzpatrick, Becca:","N/A"
"B002JWD6AS","Shiver (The Wolves of Mercy Falls Book 1)","Stiefvater, Maggie:","N/A"
"B0791239V7","Blitzscaling: The Lightning-Fast Path to Building Massively Valuable Companies","Hoffman, Reid:Yeh, Chris:","N/A"
"B06WP982HX","The Four: The Hidden DNA of Amazon, Apple, Facebook, and Google","Galloway, Scott:","N/A"
"B08HL8JYZN","Post Corona: From Crisis to Opportunity","Galloway, Scott:","N/A"
"B00J6YBOFQ","Zero to One: Notes on Startups, or How to Build the Future","Thiel, Peter:Masters, Blake:","N/A"
"B07BLKXV68","Accessory to War: The Unspoken Alliance Between Astrophysics and the Military (Astrophysics for People in a Hurry Series)","de Grasse Tyson, Neil:deGrasse Tyson, Neil:Lang, Avis:","N/A"
"B07V4G6G28","Letters from an Astrophysicist","deGrasse Tyson, Neil:","N/A"
"B004W0HZN4","Cosmos","Sagan, Carl:","N/A"
"B01MAWT2MO","Astrophysics for People in a Hurry (Astrophysics for People in a Hurry Series)","de Grasse Tyson, Neil:","N/A"
"B01FEY5E3O","Reality Is Not What It Seems: The Journey to Quantum Gravity","Rovelli, Carlo:","N/A"
"B001P7GGRS","The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory","Greene, Brian:","N/A"
"B000GCFCL4","Parallel Worlds: A Journey Through Creation, Higher Dimensions, and the Future of the Cosmos","Kaku, Michio:","N/A"
"B08CTGL22R","The God Equation: The Quest for a Theory of Everything","Kaku, Michio:","N/A"
"B07W1GK3YB","A Woman Makes a Plan: Advice for a Lifetime of Adventure, Beauty, and Success","Musk, Maye:","N/A"
"B003V1WSZK","Power: Why Some People Have It—and Others Don't","Pfeffer, Jeffery:","N/A"
"B000QTE9WK","Mars and Venus in the Bedroom: A Guide to Lasting Romance and Passion: A Guide to Lasting Romance and Passion.","Gray, John:","N/A"
"B00H6JBFOS","Never Eat Alone, Expanded and Updated: And Other Secrets to Success, One Relationship at a Time","Ferrazzi, Keith:Raz, Tahl:","N/A"
"B015628UTO","Sexual Behavior in the Human Male","Kinsey, Alfred C.:","N/A"
"B085317Y2L","Sperm Wars: Infidelity, Sexual Conflict, and Other Bedroom Battles","Baker, Robin:","N/A"
"B009MYD9F8","The Snowball: Warren Buffett and the Business of Life","Schroeder, Alice:","N/A"
"B000FC12C8","The Intelligent Investor, Rev. Ed: The Definitive Book on Value Investing","Graham, Benjamin:Jason Zweig:","N/A"
"B008ZPG704","Sam Walton: Made In America","Walton, Sam:","N/A"
"B00DXKJ2DA","Our Mathematical Universe: My Quest for the Ultimate Nature of Reality","Tegmark, Max:","N/A"
"B000FBFNII","A Short History of Nearly Everything","Bryson, Bill:","N/A"
"B00EGJE4G2","The Sixth Extinction: An Unnatural History","Kolbert, Elizabeth:","N/A"
"B00JHIDON6","This Changes Everything: Capitalism vs. The Climate","Klein, Naomi:","N/A"
"B07JMG6KMT","Where the Light Enters: Building a Family, Discovering Myself","Biden, Jill:","N/A"
"B000SF8JO6","Promises to Keep: On Life and Politics","Biden, Joe:","N/A"
"B073RYSRGM","Promise Me, Dad: A Year of Hope, Hardship, and Purpose","Biden, Joe:","N/A"
"B08HM6RPJ7","Joe Biden: The Life, the Run, and What Matters Now","Osnos, Evan:","N/A"
"B004QGY36Q","Speak","Anderson, Laurie Halse:","N/A"
"B003K16PUU","Animal Farm: A Fairy Story (An Hbj Modern Classic)","Orwell, George:","N/A"
"B000OCXIRG","Lord of the Flies","Golding, William:","N/A"
"B003YL4LNY","Inheritance: Book IV (The Inheritance Cycle 4)","Paolini, Christopher:","N/A"
"B00AP2VQEM","Crazy Rich Asians (Crazy Rich Asians Trilogy Book 1)","Kwan, Kevin:","N/A"
"B003VQQG80","Whiter Shades of Pale: The Stuff White People Like, Coast to Coast, from Seattle's Sweaters to Maine's Microbrews","Lander, Christian:","N/A"
"B0097D718K","Not Just a Pretty Face: The Ugly Side of the Beauty Industry","Malkan, Stacy:","N/A"
"B09MBCKBMX","Trypophobia - A Novel","Sullivan, A.G.:","N/A"
"B002XOTPW0","Airhead","Cabot, Meg:","N/A"
"B00F8GKDY4","Eyes Like Stars: Theatre Illuminata, Act I","Mantchev, Lisa:","N/A"
"B07NL1NHCR","The Dangerous Case of Donald Trump: 37 Psychiatrists and Mental Health Experts Assess a President - Updated and Expanded with New Essays (27 Psychiatrists ... Mental Health Experts Assess a President)","Lee, Bandy X.:","N/A"
"B015MR0UJG","Truly Madly Guilty","Moriarty, Liane:","N/A"
"B07FCJPWST","The Moment of Lift: How Empowering Women Changes the World","Gates, Melinda:","N/A"
"B011H55MY0","This Is Your Brain On Parasites: How Tiny Creatures Manipulate Our Behavior and Shape Society","McAuliffe, Kathleen:","N/A"
"B01HDSU18M","Testosterone Rex: Myths of Sex, Science, and Society","Fine, Cordelia:","N/A"
"B085CNPMX7","Melania and Me: The Rise and Fall of My Friendship with the First Lady","Wolkoff, Stephanie Winston:","N/A"
"B00JX12KDM","Do Less: A Minimalist Guide to a Simplified, Organized, and Happy Life","Jonat, Rachel:","N/A"
"B09JB1ST32","Hollywood Ending: Harvey Weinstein and the Culture of Silence","Auletta, Ken:","N/A"
"B0054KKRKY","Women, Race, & Class","Davis, Angela Y.:","N/A"
"B00541Z8BQ","Are Prisons Obsolete? (Open Media Series)","Davis, Angela Y.:","N/A"
"B086CFB2NT","The New Jim Crow: Mass Incarceration in the Age of Colorblindness","Alexander, Michelle:","N/A"
"B071KSKT3K","Why Are All the Black Kids Sitting Together in the Cafeteria?: And Other Conversations About Race","Tatum, Beverly Daniel:","N/A"
"B01CO4AUA4","They Can't Kill Us All: Ferguson, Baltimore, and a New Era in America's Racial Justice Movement","Lowery, Wesley:","N/A"
"B07SVVPSNP","Hood Feminism: Notes from the Women That a Movement Forgot","Kendall, Mikki:","N/A"
"B01D1RUOJU","White Rage: The Unspoken Truth of Our Racial Divide","Anderson, Carol:","N/A"
"B06WWPX2YF","Why I’m No Longer Talking to White People About Race: The Sunday Times Bestseller","Eddo-Lodge, Reni:","N/A"
"B07N2S7DLV","The Privileged Poor: How Elite Colleges Are Failing Disadvantaged Students","Jack, Anthony Abraham:","N/A"
"B08BLWD3TF","White Feminism: From the Suffragettes to Influencers and Who They Leave Behind","Beck, Koa:","N/A"
"B08W51CTVN","Nice White Ladies: The Truth about White Supremacy, Our Role in It, and How We Can Help Dismantle It","Daniels, Jessie:","N/A"
"B08W5243G1","The Trouble with White Women: A Counterhistory of Feminism","Schuller, Kyla:","N/A"
"B084GHDG4L","White Tears/Brown Scars: How White Feminism Betrays Women of Color","Hamad, Ruby:","N/A"
"B00L0F01NK","We Should All Be Feminists (Kindle Single) (A Vintage Short)","Adichie, Chimamanda Ngozi:","N/A"
"B00FNJVRYG","The Science of Happily Ever After: What Really Matters in the Quest for Enduring Love","Tashiro, Ty:","N/A"
"B08BZVKX75","How to Not Die Alone: The Surprising Science That Will Help You Find Love","Ury, Logan:","N/A"
"B00MCQ3M1E","Love Me, Don't Leave Me: Overcoming Fear of Abandonment and Building Lasting, Loving Relationships","Skeen, Michelle:","N/A"
"B00KBEHMJ2","Insecure in Love: How Anxious Attachment Can Make You Feel Jealous, Needy, and Worried and What You Can Do About It","Becker-Phelps PhD, Leslie:","N/A"
"B0049H9AVU","Attached: The New Science of Adult Attachment and How It Can Help You Find—and Keep—Love: The New Science of Adult Attachment and How It Can Help You Find--and Keep-- Love","Levine, Amir:Heller, Rachel:","N/A"
"B08H177WQP","Think Again: The Power of Knowing What You Don't Know","Grant, Adam:","N/A"
"B07H453KGH","Can't Hurt Me: Master Your Mind and Defy the Odds","Goggins, David:","N/A"
"B01FPGY5T0","12 Rules for Life: An Antidote to Chaos","Peterson, Jordan B.:","N/A"
"B09LVVN9L3","Building a Second Brain: A Proven Method to Organize Your Digital Life and Unlock Your Creative Potential","Forte, Tiago:","N/A"
"B0024CEZR6","The 48 Laws of Power","Greene, Robert:","N/A"
